time	V(n003)
1.600008004192371e-01	7.045854e-02
1.600008956712163e-01	7.045654e-02
1.600009909231956e-01	7.045257e-02
1.700000000000000e-01	7.045258e-02
1.700000010000000e-01	7.170486e-02
1.700000030000000e-01	7.422034e-02
1.700000060000000e-01	7.801904e-02
1.700000100000000e-01	8.311037e-02
1.700000112000000e-01	8.314409e-02
1.700000128000000e-01	8.317807e-02
1.700000160000000e-01	8.321396e-02
1.700000224000000e-01	8.320258e-02
1.700000326985079e-01	8.306233e-02
1.700000439584134e-01	8.282042e-02
1.700000574634746e-01	8.247592e-02
1.700000797187591e-01	8.187949e-02
1.700001242293279e-01	8.074129e-02
1.700002132504657e-01	7.882946e-02
1.700003235702848e-01	7.712857e-02
1.700004304751935e-01	7.613572e-02
1.700005484511152e-01	7.556323e-02
1.700006807003309e-01	7.526065e-02
1.700008522362557e-01	7.510345e-02
1.700010706058609e-01	7.503928e-02
1.700013848243835e-01	7.501962e-02
1.700018571073373e-01	7.501630e-02
1.800000000000000e-01	7.501628e-02
1.800000005960332e-01	7.655091e-02
1.800000017880997e-01	7.963030e-02
1.800000041722327e-01	8.581569e-02
1.800000052317340e-01	8.857708e-02
1.800000073507365e-01	9.412155e-02
1.800000100000000e-01	1.010653e-01
1.800000107947791e-01	1.001147e-01
1.800000118544845e-01	9.883538e-02
1.800000139738953e-01	9.624960e-02
1.800000157611784e-01	9.403704e-02
1.800000193357445e-01	8.955529e-02
1.800000200000000e-01	8.871572e-02
1.800000207149133e-01	8.869498e-02
1.800000221447397e-01	8.864743e-02
1.800000250043926e-01	8.853667e-02
1.800000307236984e-01	8.828264e-02
1.800000421623101e-01	8.770572e-02
1.800000650395334e-01	8.647158e-02
1.800001107939800e-01	8.419833e-02
1.800001578272816e-01	8.247071e-02
1.800002017372231e-01	8.151639e-02
1.800002454934158e-01	8.095741e-02
1.800002798557437e-01	8.061534e-02
1.800003189042677e-01	8.028332e-02
1.800003427172129e-01	8.013461e-02
1.800003827143400e-01	7.996882e-02
1.800004205160312e-01	7.987222e-02
1.800004961194137e-01	7.977962e-02
1.800006168733611e-01	7.972649e-02
1.800008583812558e-01	7.970750e-02
1.800011954105118e-01	7.970597e-02
1.800018694690237e-01	7.970629e-02
1.890003100000000e-01	7.970622e-02
1.900000000000000e-01	7.970624e-02
1.900000010000000e-01	8.095862e-02
1.900000030000000e-01	8.347446e-02
1.900000060000000e-01	8.727422e-02
1.900000100000000e-01	9.236765e-02
1.900000112000000e-01	9.240226e-02
1.900000128000000e-01	9.243746e-02
1.900000160000000e-01	9.247583e-02
1.900000224000000e-01	9.246936e-02
1.900000326951979e-01	9.233659e-02
1.900000439558625e-01	9.210192e-02
1.900000574387255e-01	9.176534e-02
1.900000794282985e-01	9.118497e-02
1.900001234074445e-01	9.006930e-02
1.900002113657366e-01	8.818170e-02
1.900003222874865e-01	8.646014e-02
1.900004286756071e-01	8.545908e-02
1.900005470401508e-01	8.487531e-02
1.900006784121205e-01	8.456847e-02
1.900008499605166e-01	8.440756e-02
1.900010666164219e-01	8.434190e-02
1.900013799416752e-01	8.432156e-02
1.900018469371996e-01	8.431806e-02
2.000000000000000e-01	8.431804e-02
2.000000010000000e-01	8.963849e-02
2.000000030000000e-01	1.003222e-01
2.000000060000000e-01	1.164356e-01
2.000000100000000e-01	1.379970e-01
2.000000104000000e-01	1.365090e-01
2.000000112000000e-01	1.335252e-01
2.000000128000000e-01	1.275083e-01
2.000000160000000e-01	1.152549e-01
2.000000200000000e-01	9.964620e-02
2.000000212000000e-01	9.947170e-02
2.000000228000000e-01	9.922349e-02
2.000000260000000e-01	9.869385e-02
2.000000324000001e-01	9.756392e-02
2.000000452000001e-01	9.535713e-02
2.000000708000003e-01	9.178679e-02
2.000000946862864e-01	8.981852e-02
2.000001167995542e-01	8.910691e-02
2.000001391990015e-01	8.884246e-02
2.000001697714497e-01	8.868861e-02
2.000001928034674e-01	8.874851e-02
2.000002152479157e-01	8.892809e-02
2.000002397539669e-01	8.911702e-02
2.000002663530388e-01	8.923251e-02
2.000002964003912e-01	8.927612e-02
2.000003207326383e-01	8.928348e-02
2.000003524572050e-01	8.928373e-02
2.000003865860750e-01	8.928282e-02
2.000004425609888e-01	8.928183e-02
2.000005177961691e-01	8.928140e-02
2.100000000000000e-01	8.928128e-02
2.100000010000000e-01	9.053399e-02
2.100000030000000e-01	9.305110e-02
