Freq.	V(nc_01)
1.52756605823806e+00	(-1.51174998335814e+01dB,-4.53445829986499e-02°)
1.53108746168202e+00	(-1.51174998461370e+01dB,-4.54491130142056e-02°)
1.53461698279928e+00	(-1.51174998587505e+01dB,-4.55538839960314e-02°)
1.53815464030302e+00	(-1.51174998714222e+01dB,-4.56588964996078e-02°)
1.54170045294954e+00	(-1.51174998841524e+01dB,-4.57641510816989e-02°)
1.54525443953840e+00	(-1.51174998969414e+01dB,-4.58696483003488e-02°)
1.54881661891247e+00	(-1.51174999097894e+01dB,-4.59753887148927e-02°)
1.55238700995807e+00	(-1.51174999226967e+01dB,-4.60813728859539e-02°)
1.55596563160506e+00	(-1.51174999356636e+01dB,-4.61876013754438e-02°)
1.55955250282694e+00	(-1.51174999486904e+01dB,-4.62940747465750e-02°)
1.56314764264094e+00	(-1.51174999617772e+01dB,-4.64007935638560e-02°)
1.56675107010813e+00	(-1.51174999749245e+01dB,-4.65077583930910e-02°)
1.57036280433354e+00	(-1.51174999881325e+01dB,-4.66149698014008e-02°)
1.57398286446620e+00	(-1.51175000014014e+01dB,-4.67224283572044e-02°)
1.57761126969933e+00	(-1.51175000147316e+01dB,-4.68301346302323e-02°)
1.58124803927037e+00	(-1.51175000281233e+01dB,-4.69380891915287e-02°)
1.58489319246110e+00	(-1.51175000415768e+01dB,-4.70462926134568e-02°)
1.58854674859776e+00	(-1.51175000550924e+01dB,-4.71547454696987e-02°)
1.59220872705115e+00	(-1.51175000686704e+01dB,-4.72634483352527e-02°)
1.59587914723672e+00	(-1.51175000823111e+01dB,-4.73724017864519e-02°)
1.59955802861465e+00	(-1.51175000960147e+01dB,-4.74816064009503e-02°)
1.60324539069002e+00	(-1.51175001097816e+01dB,-4.75910627577392e-02°)
1.60694125301286e+00	(-1.51175001236121e+01dB,-4.77007714371390e-02°)
1.61064563517825e+00	(-1.51175001375063e+01dB,-4.78107330208170e-02°)
1.61435855682647e+00	(-1.51175001514647e+01dB,-4.79209480917700e-02°)
1.61808003764305e+00	(-1.51175001654876e+01dB,-4.80314172343416e-02°)
